iter	RMSE
0	1.000189019
1	1.00016644
2	1.000152031
3	1.000136256
4	1.000133235
5	1.000111373
6	1.000090255
7	1.000077011
8	1.000057935
9	1.000054882
10	1.000027711
11	1.00000296
12	0.9999864334
13	0.9999560787
14	0.9999540988
15	0.9999526254
16	0.9999255829
17	0.9999123259
18	0.9998929954
19	0.9998722986
20	0.9998493826
21	0.9998265287
22	0.999814333
23	0.9998143245
24	0.9998138947
25	0.9998000863
26	0.9997843095
27	0.9997596038
28	0.9997472852
29	0.9997417516
30	0.999723307
31	0.9997017207
32	0.9996837408
33	0.9996834353
34	0.9996644037
35	0.9996510472
36	0.9996238866
37	0.9996226624
38	0.9996006524
39	0.9995852447
40	0.9995718298
41	0.9995573353
42	0.9995547483
43	0.9995521189
44	0.9995384356
45	0.9995159894
46	0.9995145104
47	0.9995027214
48	0.9994874096
49	0.9994741316
50	0.9994628078
51	0.9994439381
52	0.9994437749
53	0.9994249078
54	0.9993941442
55	0.9993893145
56	0.9993689821
57	0.9993688029
58	0.9993574302
59	0.9993416447
60	0.999325829
61	0.9993058303
62	0.9993058303
63	0.9993057063
64	0.9992988739
65	0.9992835124
66	0.9992835124
67	0.9992678111
68	0.999248842
69	0.999245944
70	0.9992356062
71	0.9992306697
72	0.9992299311
73	0.9992270268
74	0.9992270268
75	0.9992093804
76	0.9991975927
77	0.999193437
78	0.9991931404
79	0.9991765456
80	0.9991600036
81	0.9991422309
82	0.999128667
83	0.9991106613
84	0.9990889551
85	0.999088955
86	0.9990655302
87	0.9990499157
88	0.9990326259
89	0.9990282541
90	0.9990148863
91	0.9989958599
92	0.9989830847
93	0.9989636127
94	0.9989440586
95	0.9989319977
96	0.998924078
97	0.9989147848
98	0.9989146258
99	0.9989146258
100	0.9988915493
101	0.998876617
102	0.9988615495
103	0.9988498763
104	0.9988319354
105	0.9988105482
106	0.9987940847
107	0.9987940847
108	0.9987919139
109	0.9987787649
110	0.9987716937
111	0.9987526151
112	0.9987409269
113	0.9987234114
114	0.9987233124
115	0.9987118437
116	0.99869452
117	0.9986721294
118	0.9986567444
119	0.9986301983
120	0.998616054
121	0.99860352
122	0.9985721034
123	0.9985523922
124	0.9985262961
125	0.9985161978
126	0.9984973711
127	0.9984806675
128	0.9984641353
129	0.998444525
130	0.998423558
131	0.998410357
132	0.9983878552
133	0.9983679114
134	0.9983471974
135	0.9983238815
136	0.9983033466
137	0.9982822924
138	0.9982602881
139	0.9982443626
140	0.9982201637
141	0.9981952872
142	0.998171262
143	0.9981487868
144	0.9981290723
145	0.9981019008
146	0.9980818188
147	0.9980575212
148	0.9980349668
149	0.9980122385
150	0.9979928015
151	0.9979767325
152	0.9979581146
153	0.9979328129
154	0.9979086095
155	0.9978863057
156	0.9978592243
157	0.9978316625
158	0.9978115151
159	0.9977915513
160	0.9977781717
161	0.9977577324
162	0.9977397613
163	0.9977147997
164	0.9976912295
165	0.997672177
166	0.9976568455
167	0.9976306502
168	0.997611139
169	0.9975899742
170	0.997566568
171	0.9975494591
172	0.9975288739
173	0.997508295
174	0.9974841147
175	0.9974644379
176	0.9974446737
177	0.9974256004
178	0.9974043339
179	0.9973828561
180	0.9973647122
181	0.9973435045
182	0.9973244754
183	0.9973056729
184	0.9972858622
185	0.9972623859
186	0.9972407055
187	0.9972240665
188	0.9972071095
189	0.997187259
190	0.9971682947
191	0.9971460852
192	0.9971214078
193	0.9971027913
194	0.9970828153
195	0.9970618688
196	0.9970298543
197	0.9970084617
198	0.996989109
199	0.9969695252
200	0.9969492004
201	0.996927125
202	0.9969071871
203	0.9968899988
204	0.9968735583
205	0.996858879
206	0.9968411912
207	0.9968224231
208	0.9968052896
209	0.9967807084
210	0.9967580737
211	0.9967407954
212	0.9967221825
213	0.9967048829
214	0.9966886481
215	0.9966717837
216	0.9966536731
217	0.9966296914
218	0.9966116961
219	0.9965912383
220	0.9965711695
221	0.9965513566
222	0.9965361139
223	0.9965176852
224	0.996489355
225	0.996474023
226	0.9964600522
227	0.9964443676
228	0.9964241821
229	0.9964086214
230	0.9963884078
231	0.9963679509
232	0.9963461315
233	0.996328181
234	0.9963110483
235	0.9962928517
236	0.996275358
237	0.9962543369
238	0.996225397
239	0.9962066391
240	0.9961871016
241	0.9961706048
242	0.9961552644
243	0.9961409989
244	0.9961257585
245	0.9961028097
246	0.9960842585
247	0.9960667611
248	0.9960480003
249	0.9960293268
250	0.9960108209
251	0.9959910155
252	0.9959764137
253	0.995954614
254	0.9959323862
255	0.9959119312
256	0.9958945588
257	0.9958735389
258	0.9958549015
259	0.9958393717
260	0.9958182254
261	0.9958033226
262	0.9957844069
263	0.9957656638
264	0.9957462036
265	0.9957230943
266	0.9957057086
267	0.9956886036
268	0.9956693328
269	0.9956507575
270	0.9956287339
271	0.995606198
272	0.99559605
273	0.9955814739
274	0.9955662787
275	0.9955469935
276	0.9955243221
277	0.9955030932
278	0.9954868621
279	0.9954744658
280	0.9954553599
281	0.9954314043
282	0.9954166628
283	0.9953918413
284	0.9953669714
285	0.9953519425
286	0.9953321287
287	0.9953132484
288	0.9953034686
289	0.9952849854
290	0.9952644921
291	0.9952462144
292	0.9952292054
293	0.9952115784
294	0.9951941136
295	0.9951784256
296	0.9951570241
297	0.9951371865
298	0.9951168692
299	0.9951015276
300	0.9950811863
301	0.995058459
302	0.995040809
303	0.9950257355
304	0.9950037825
305	0.9949864138
306	0.9949713111
307	0.9949534086
308	0.9949326207
309	0.9949180207
310	0.9949013657
311	0.9948775467
312	0.9948624757
313	0.9948440488
314	0.994826269
315	0.9948060849
316	0.9947888891
317	0.9947747843
318	0.9947550839
319	0.9947410332
320	0.9947241575
321	0.9947095719
322	0.9946918554
323	0.9946760641
324	0.9946565085
325	0.994634573
326	0.9946151574
327	0.9945981215
328	0.9945825166
329	0.9945623055
330	0.9945426999
331	0.9945226886
332	0.9945057062
333	0.9944863952
334	0.9944697028
335	0.9944510919
336	0.9944324644
337	0.9944172573
338	0.9943956862
339	0.9943806874
340	0.9943626982
341	0.9943472531
342	0.9943308891
343	0.9943145263
344	0.9942964375
345	0.9942835669
346	0.9942681968
347	0.9942519617
348	0.9942291269
349	0.9942116078
350	0.9941990672
351	0.9941845849
352	0.9941712433
353	0.994147646
354	0.9941303512
355	0.9941189287
356	0.9941025236
357	0.9940886312
358	0.9940682409
359	0.9940550836
360	0.9940396267
361	0.9940184996
362	0.9940000252
363	0.9939871982
364	0.9939720853
365	0.9939558477
366	0.9939353774
367	0.993921292
368	0.993902081
369	0.9938849301
370	0.9938660068
371	0.9938498897
372	0.9938296747
373	0.9938141445
374	0.9937950853
375	0.9937805723
376	0.9937703448
377	0.9937511454
378	0.9937364805
379	0.9937189993
380	0.9937035831
381	0.9936908648
382	0.9936729177
383	0.993654139
384	0.9936403549
385	0.9936185067
386	0.9936075835
387	0.9935892945
388	0.9935735453
389	0.9935514004
390	0.9935336828
391	0.9935191106
392	0.9935048595
393	0.9934855705
394	0.9934726837
395	0.9934629056
396	0.9934513457
397	0.9934335512
398	0.9934120849
399	0.9934014295
400	0.9933852376
401	0.9933677268
402	0.993352344
403	0.9933326875
404	0.9933131559
405	0.9932965551
406	0.9932741965
407	0.9932517265
408	0.9932350127
409	0.9932173708
410	0.9932042841
411	0.993191044
412	0.9931750198
413	0.99315311
414	0.9931376307
415	0.9931222805
416	0.9931090114
417	0.9930911515
418	0.9930791892
419	0.9930694208
420	0.9930496259
421	0.9930345077
422	0.9930169541
423	0.9929986381
424	0.9929849855
425	0.9929688251
426	0.9929585444
427	0.9929410015
428	0.9929247765
429	0.9929069137
430	0.9928898971
431	0.9928774481
432	0.9928595544
433	0.9928444599
434	0.9928242944
435	0.992805155
436	0.9927883422
437	0.9927708493
438	0.9927601688
439	0.9927468324
440	0.9927291044
441	0.9927075276
442	0.9926924837
443	0.9926770268
444	0.9926656121
445	0.9926514429
446	0.9926385781
447	0.9926245417
448	0.9926050786
449	0.9925908942
450	0.9925737203
451	0.9925605228
452	0.9925471944
453	0.9925272146
454	0.9925096353
455	0.9924955938
456	0.9924765325
457	0.992458403
458	0.9924422167
459	0.9924287247
460	0.9924122462
461	0.9923980149
462	0.9923791446
463	0.992363486
464	0.9923459093
465	0.9923296851
466	0.9923129955
467	0.9922988149
468	0.9922747997
469	0.9922621529
470	0.9922503283
471	0.9922354725
472	0.9922250926
473	0.9922130514
474	0.9921996945
475	0.9921863586
476	0.9921713341
477	0.9921583441
478	0.992139283
479	0.9921255458
480	0.992116376
481	0.9920999547
482	0.9920828193
483	0.9920689389
484	0.9920566994
485	0.9920389883
486	0.9920295329
487	0.9920144354
488	0.9919979381
489	0.9919793587
490	0.9919646444
491	0.9919474304
492	0.9919364395
493	0.9919168811
494	0.9918925239
495	0.9918727375
496	0.9918565555
497	0.9918393814
498	0.9918237432
499	0.9918043338
500	0.9917932348
501	0.9917743999
502	0.9917616998
503	0.9917491991
504	0.9917327309
505	0.9917209534
506	0.991708686
507	0.9916964813
508	0.9916784258
509	0.9916645766
510	0.9916476174
511	0.9916252739
512	0.9916136166
513	0.9916003329
514	0.9915873381
515	0.9915654483
516	0.9915510858
517	0.9915388338
518	0.991523883
519	0.9915107174
520	0.9914936974
521	0.9914719642
522	0.991457641
523	0.9914408343
524	0.9914261428
525	0.9914107296
526	0.9913989393
527	0.9913848705
528	0.9913750452
529	0.9913597725
530	0.991350979
531	0.9913400299
532	0.9913241952
533	0.9913135462
534	0.991296341
535	0.9912789995
536	0.9912605135
537	0.9912462156
538	0.9912349242
539	0.9912144465
540	0.9911990603
541	0.991177433
542	0.9911598979
543	0.991143432
544	0.9911220794
545	0.991103534
546	0.9910877124
547	0.991070528
548	0.9910550851
549	0.9910412045
550	0.9910237486
551	0.9910099676
552	0.9909970691
553	0.9909807496
554	0.9909697787
555	0.9909562408
556	0.9909379797
557	0.9909211977
558	0.9909100904
559	0.9908890245
560	0.9908757979
561	0.9908599465
562	0.9908392881
563	0.9908197407
564	0.9908032607
565	0.9907806204
566	0.9907641789
567	0.9907490247
568	0.9907349041
569	0.9907231653
570	0.9907110067
571	0.9906964767
572	0.9906791901
573	0.9906652751
574	0.9906502868
575	0.9906350839
576	0.9906237222
577	0.9906048904
578	0.9905941511
579	0.99058126
580	0.9905682114
581	0.9905554867
582	0.9905409482
583	0.9905227938
584	0.9905070132
585	0.9904928633
586	0.9904799387
587	0.9904683002
588	0.9904545124
589	0.990440416
590	0.9904222964
591	0.9904071346
592	0.9903920672
593	0.9903798426
594	0.9903649188
595	0.9903506063
596	0.99033608
597	0.9903219083
598	0.9903059511
599	0.9902905084
600	0.9902740899
601	0.9902592004
602	0.9902478075
603	0.9902341288
604	0.9902172072
605	0.9901975267
606	0.9901782514
607	0.9901623882
608	0.9901515186
609	0.9901361991
610	0.9901204358
611	0.9901037914
612	0.9900909359
613	0.9900725661
614	0.9900554546
615	0.9900358085
616	0.9900200862
617	0.9900067775
618	0.9899916707
619	0.9899641441
620	0.9899473081
621	0.9899327761
622	0.989913623
623	0.9899037329
624	0.9898873078
625	0.9898743644
626	0.9898598865
627	0.9898439791
628	0.9898342138
629	0.9898207612
630	0.9898086794
631	0.9897958908
632	0.9897774338
633	0.9897574458
