iter	Passed	Remaining
0	88	88645
1	156	78330
2	228	75892
3	287	71485
4	336	66871
5	407	67474
6	473	67160
7	521	64663
8	577	63538
9	616	61065
10	662	59567
11	706	58196
12	755	57344
13	803	56575
14	855	56204
15	916	56370
16	997	57685
17	1072	58504
18	1146	59189
19	1207	59150
20	1269	59160
21	1330	59126
22	1397	59360
23	1431	58220
24	1471	57404
25	1520	56943
26	1576	56801
27	1623	56342
28	1679	56249
29	1731	55997
30	1780	55651
31	1834	55488
32	1882	55157
33	1919	54546
34	1978	54562
35	2038	54591
36	2116	55089
37	2159	54661
38	2214	54567
39	2272	54548
40	2336	54641
41	2401	54781
42	2455	54644
43	2503	54402
44	2569	54524
45	2620	54345
46	2655	53847
47	2700	53550
48	2744	53256
49	2790	53016
50	2847	52994
51	2902	52918
52	2935	52447
53	2980	52219
54	3038	52205
55	3082	51954
56	3138	51926
57	3170	51495
58	3221	51376
59	3294	51607
60	3342	51452
61	3396	51382
62	3424	50931
63	3461	50624
64	3509	50488
65	3569	50516
66	3600	50137
67	3647	49992
68	3694	49849
69	3737	49654
70	3796	49673
71	3838	49474
72	3889	49394
73	3928	49159
74	3961	48856
75	4018	48850
76	4099	49137
77	4159	49163
78	4208	49059
79	4268	49088
80	4383	49736
81	4521	50614
82	4649	51373
83	4705	51315
84	4756	51206
85	4786	50865
86	4836	50754
87	4886	50643
88	4932	50493
89	4982	50383
90	5031	50255
91	5078	50123
92	5129	50022
93	5186	49986
94	5251	50024
95	5312	50023
96	5373	50024
97	5433	50010
98	5480	49877
99	5516	49647
100	5588	49742
101	5669	49913
102	5741	49998
103	5807	50036
104	5865	49995
105	5927	49994
106	5984	49946
107	6021	49731
108	6061	49551
109	6109	49432
110	6154	49293
111	6202	49174
112	6249	49058
113	6296	48934
114	6329	48710
115	6376	48592
116	6443	48628
117	6504	48620
118	6563	48591
119	6622	48565
120	6693	48625
121	6761	48660
122	6824	48657
123	6884	48636
124	6943	48604
125	6997	48536
126	7054	48494
127	7098	48356
128	7141	48218
129	7206	48228
130	7248	48082
131	7293	47962
132	7334	47812
133	7378	47686
134	7422	47561
135	7483	47541
136	7535	47466
137	7606	47510
138	7667	47492
139	7718	47415
140	7772	47351
141	7836	47352
142	7899	47341
143	7963	47338
144	8030	47350
145	8084	47287
146	8142	47246
147	8184	47115
148	8230	47006
149	8273	46880
150	8315	46755
151	8358	46629
152	8414	46581
153	8463	46495
154	8510	46394
155	8577	46405
156	8651	46453
157	8711	46425
158	8769	46386
159	8851	46471
160	8908	46422
161	8969	46396
162	9025	46346
163	9097	46375
164	9165	46382
165	9223	46338
166	9273	46255
167	9327	46192
168	9375	46098
169	9426	46024
170	9473	45926
171	9518	45819
172	9571	45757
173	9691	46006
174	9836	46371
175	9968	46672
176	10040	46683
177	10107	46674
178	10175	46670
179	10244	46668
180	10303	46622
181	10364	46585
182	10438	46603
183	10487	46510
184	10538	46426
185	10584	46323
186	10634	46235
187	10677	46117
188	10734	46063
189	10783	45971
190	10842	45923
191	10894	45845
192	10963	45843
193	11023	45800
194	11076	45727
195	11131	45662
196	11188	45604
197	11268	45641
198	11331	45611
199	11379	45516
200	11430	45438
201	11474	45329
202	11514	45207
203	11555	45089
204	11605	45008
205	11656	44927
206	11704	44838
207	11753	44755
208	11816	44720
209	11865	44635
210	11925	44594
211	11977	44519
212	12047	44514
213	12107	44468
214	12174	44450
215	12244	44441
216	12296	44369
217	12352	44312
218	12403	44233
219	12459	44175
220	12505	44079
221	12550	43984
222	12595	43886
223	12647	43813
224	12690	43710
225	12734	43611
226	12786	43543
227	12845	43495
228	12896	43418
229	12945	43338
230	12992	43251
231	13036	43155
232	13114	43172
233	13161	43084
234	13212	43011
235	13259	42924
236	13305	42836
237	13360	42777
238	13402	42675
239	13443	42570
240	13487	42478
241	13528	42375
242	13579	42304
243	13636	42251
244	13686	42175
245	13731	42086
246	13800	42073
247	13873	42068
248	13922	41990
249	13969	41908
250	14039	41895
251	14105	41869
252	14158	41804
253	14205	41721
254	14252	41640
255	14317	41609
256	14374	41556
257	14430	41500
258	14482	41435
259	14540	41384
260	14611	41371
261	14676	41339
262	14729	41276
263	14775	41192
264	14830	41132
265	14895	41101
266	15023	41243
267	15124	41309
268	15227	41380
269	15286	41330
270	15392	41406
271	15531	41570
272	15583	41497
273	15649	41466
274	15709	41417
275	15758	41338
276	15809	41265
277	15853	41174
278	15906	41106
279	15944	40999
280	16014	40977
281	16085	40955
282	16141	40894
283	16192	40824
284	16277	40835
285	16333	40775
286	16391	40720
287	16431	40623
288	16485	40557
289	16550	40521
290	16614	40480
291	16660	40394
292	16704	40306
293	16769	40268
294	16855	40282
295	16907	40212
296	16960	40145
297	17006	40062
298	17052	39979
299	17103	39908
300	17165	39861
301	17230	39825
302	17281	39752
303	17328	39674
304	17379	39602
305	17425	39519
306	17494	39491
307	17552	39437
308	17603	39365
309	17654	39296
310	17697	39208
311	17761	39166
312	17823	39120
313	17870	39041
314	17912	38952
315	17955	38864
316	18010	38804
317	18057	38727
318	18102	38645
319	18144	38557
320	18185	38466
321	18233	38392
322	18281	38318
323	18325	38235
324	18367	38148
325	18410	38064
326	18465	38003
327	18507	37917
328	18548	37830
329	18597	37757
330	18647	37689
331	18713	37653
332	18753	37562
333	18792	37472
334	18847	37412
335	18890	37331
336	18946	37274
337	18987	37188
338	19031	37109
339	19072	37022
340	19115	36941
341	19156	36856
342	19205	36787
343	19262	36733
344	19311	36664
345	19374	36621
346	19440	36584
347	19502	36539
348	19551	36470
349	19607	36414
350	19681	36391
351	19737	36334
352	19781	36256
353	19822	36174
354	19891	36140
355	19943	36077
356	19999	36020
357	20050	35957
358	20105	35898
359	20144	35812
360	20266	35873
361	20388	35933
362	20510	35992
363	20572	35944
364	20636	35902
365	20680	35823
366	20731	35758
367	20803	35728
368	20871	35690
369	20930	35638
370	20984	35576
371	21044	35526
372	21107	35481
373	21165	35426
374	21220	35367
375	21278	35313
376	21317	35227
377	21377	35176
378	21438	35126
379	21504	35086
380	21550	35012
381	21594	34935
382	21656	34887
383	21716	34836
384	21775	34784
385	21831	34726
386	21888	34671
387	21938	34604
388	21982	34528
389	22023	34446
390	22075	34383
391	22134	34331
392	22197	34283
393	22253	34228
394	22301	34158
395	22340	34075
396	22386	34002
397	22433	33931
398	22485	33869
399	22542	33813
400	22599	33758
401	22656	33703
402	22703	33632
403	22746	33556
404	22789	33480
405	22847	33426
406	22894	33356
407	22955	33308
408	23012	33253
409	23071	33201
410	23121	33135
411	23162	33057
412	23201	32977
413	23257	32920
414	23302	32848
415	23356	32789
416	23397	32711
417	23442	32639
418	23480	32558
419	23523	32484
420	23576	32424
421	23623	32356
422	23668	32285
423	23713	32214
424	23767	32155
425	23811	32084
426	23853	32009
427	23903	31945
428	23949	31876
429	23993	31805
430	24058	31761
431	24104	31692
432	24148	31621
433	24198	31558
434	24272	31526
435	24319	31458
436	24365	31390
437	24410	31321
438	24459	31256
439	24510	31195
440	24557	31128
441	24603	31060
442	24647	30990
443	24694	30923
444	24741	30856
445	24796	30801
446	24846	30739
447	24896	30676
448	24944	30610
449	24990	30544
